,Prediate,Tense,ActivePred,Cannon,Negation,Episataus,Comments
,are deactivated by,present,deactivate,,,,
,is not deactivated by,present,not deactivate,,TRUE,,
,are not deactivated by,present,not deactivate,,TRUE,,
,isn't deactivated by,present,not deactivate,,TRUE,,
,aren't deactivated by,present,not deactivate,,TRUE,,
,was not deactivated by,past,not deactivate,,TRUE,,
,wasn't deactivated by,past,not deactivate,,TRUE,,
,were not deactivated by,past,not deactivate,,TRUE,,
,weren't deactivated by,past,not deactivate,,TRUE,,
,is thought to deactivate,present,,deactivate,,speculative,
,are thought to deactivate,present,,deactivate,,speculative,
,is not thought to deactivate,present,,not deactivate,TRUE,speculative,
,are not thought to deactivate,present,,not deactivate,TRUE,speculative,
,was thought to deactivate,past,,deactivate,,speculative,
,were thought to deactivate,past,,deactivate,,speculative,
,was not thought to deactivate,past,,not deactivate,TRUE,speculative,
,wasn't thought to deactivate,past,,not deactivate,TRUE,speculative,
,were not thought to deactivate,past,,not deactivate,TRUE,speculative,
,weren't thought to deactivate,past,,not deactivate,TRUE,speculative,
,is thought to be deactivated by,present,deactivate,,,speculative,
,are thought to be deactivated by,present,deactivate,,,speculative,
,is thought to have been deactivated by,present,deactivate,,,speculative,
,are thought to have been deactivated by,present,deactivate,,,speculative,
,was thought to have been deactivated by,past,deactivate,,,speculative,
,were thought to have been deactivated by,past,deactivate,,,speculative,
,is not thought to be deactivated by,present,not deactivate,,TRUE,speculative,
,are not thought to be deactivated by,present,not deactivate,,TRUE,speculative,
,is not thought to have been deactivated by,present,not deactivate,,TRUE,speculative,
,are not thought to have been deactivated by,present,not deactivate,,TRUE,speculative,
,was not thought to have been deactivated by,past,not deactivate,,TRUE,speculative,
,were not thought to have been deactivated by,past,not deactivate,,TRUE,speculative,
,adapt,present,,,,,
,not adapt,present,,,TRUE,,
,adapts,present,,adapt,,,
,,,,,,,
,add,present,,,,,
,not add,present,,,TRUE,,
,adds,present,,add,,,
,is  added by,present,add,,,,
,are added by,present,add,,,,
,is not added by,present,not add,,TRUE,,
,are not added by,present,not add,,TRUE,,
,isn't added by,present,not add,,TRUE,,
,aren't added by,present,not add,,TRUE,,
,was not added by,past,not add,,TRUE,,
,wasn't added by,past,not add,,TRUE,,
,were not added by,past,not add,,TRUE,,
,weren't add\ed by,past,not add,,TRUE,,
,is thought to add,present,,add,,speculative,
,are thought to add,present,,add,,speculative,
,is not thought to add,present,,not add,TRUE,speculative,
,are not thought to add,present,,not add,TRUE,speculative,
,was thought to add,past,,add,,speculative,
,were thought to add,past,,add,,speculative,
,was not thought to add,past,,not add,TRUE,speculative,
,wasn't thought to add,past,,not add,TRUE,speculative,
,were not thought to add,past,,not add,TRUE,speculative,
,weren't thought to add,past,,not add,TRUE,speculative,
,is thought to be added by,present,add,,,speculative,
,are thought to be added by,present,add,,,speculative,
,is thought to have been added by,present,add,,,speculative,
,are thought to have been added by,present,add,,,speculative,
,was thought to have been added by,past,add,,,speculative,
,were thought to have been added by,past,add,,,speculative,
,is not thought to be added by,present,not add,,TRUE,speculative,
,are not thought to be added by,present,not add,,TRUE,speculative,
,is not thought to have been added by,present,not add,,TRUE,speculative,
,are not thought to have been added by,present,not add,,TRUE,speculative,
,was not thought to have been added by,past,not add,,TRUE,speculative,
,were not thought to have been added by,past,not add,,TRUE,speculative,
,affect,present,,,,,
,not affect,present,,,TRUE,,
,affects,present,,affect,,,
,affected,past,,affect,,,
,is affected by,present,affect,,,,
,are affected by,present,affect,,,,
,isn't affected by,present,not affect,,TRUE,,
,aren't affected by,present,not affect,,TRUE,,
,was not affected by,past,not affect,,TRUE,,
,wasn't affected by,past,not affect,,TRUE,,
,were not affected by,past,not affect,,TRUE,,
,weren't affected by,past,not affect,,TRUE,,
,is thought to affect,present,,affect,,speculative,
,are thought to affect,present,,affect,,speculative,
,is not thought to affect,present,,not affect,TRUE,speculative,
,are not thought to affect,present,,not affect,TRUE,speculative,
,was thought to affect,past,,affect,,speculative,
,were thought to affect,past,,affect,,speculative,
,was not thought to affect,past,,not affect,TRUE,speculative,
,wasn't thought to affect,past,,not affect,TRUE,speculative,
,were not thought to affect,past,,not affect,TRUE,speculative,
,weren't thought to affect,past,,not affect,TRUE,speculative,
,is thought to be affected by,present,affect,,,speculative,
,are thought to be affected by,present,affect,,,speculative,
,is thought to have been affected by,present,affect,,,speculative,
,are thought to have been affected by,present,affect,,,speculative,
,was thought to have been affected by,past,affect,,,speculative,
,were thought to have been affected by,past,affect,,,speculative,
,is not thought to be affected by,present,not affect,,TRUE,speculative,
,are not thought to be affected by,present,not affect,,TRUE,speculative,
,is not thought to have been affected by,present,not affect,,TRUE,speculative,
,are not thought to have been affected by,present,not affect,,TRUE,speculative,
,was not thought to have been affected by,past,not affect,,TRUE,speculative,
,were not thought to have been affected by,past,not affect,,TRUE,speculative,
,aggregate,present,,,,,
,not aggregate,present,,,TRUE,,
,aggregates,present,,aggregate,,,
,aggregated,past,,aggregate,,,
,is aggregated by,present,aggregate,,,,
,are aggregated by,present,aggregate,,,,
,isn't aggregated by,present,not aggregate,,TRUE,,
,aren't aggregated by,present,not aggregate,,TRUE,,
,was not aggregated by,past,not aggregate,,TRUE,,
,wasn't aggregated by,past,not aggregate,,TRUE,,
,were not aggregated by,past,not aggregate,,TRUE,,
,weren't aggregated by,past,not aggregate,,TRUE,,
,is thought to aggregate,present,,aggregate,,speculative,
,are thought to aggregate,present,,aggregate,,speculative,
,is not thought to aggregate,present,,not aggregate,TRUE,speculative,
,are not thought to aggregate,present,,not aggregate,TRUE,speculative,
,was thought to aggregate,past,,aggregate,,speculative,
,were thought to aggregate,past,,aggregate,,speculative,
,was not thought to aggregate,past,,not aggregate,TRUE,speculative,
,wasn't thought to aggregate,past,,not aggregate,TRUE,speculative,
,were not thought to aggregate,past,,not aggregate,TRUE,speculative,
,weren't thought to aggregate,past,,not aggregate,TRUE,speculative,
,is thought to be aggregated by,present,aggregate,,,speculative,
,are thought to be aggregated by,present,aggregate,,,speculative,
,is thought to have been aggregated by,present,aggregate,,,speculative,
,are thought to have been aggregated by,present,aggregate,,,speculative,
,was thought to have been aggregated by,past,aggregate,,,speculative,
,were thought to have been aggregated by,past,aggregate,,,speculative,
,is not thought to be aggregated by,present,not aggregate,,TRUE,speculative,
,are not thought to be aggregated by,present,not aggregate,,TRUE,speculative,
,is not thought to have been aggregated by,present,not aggregate,,TRUE,speculative,
,are not thought to have been aggregated by,present,not aggregate,,TRUE,speculative,
,was not thought to have been aggregated by,past,not aggregate,,TRUE,speculative,
,were not thought to have been aggregated by,past,not aggregate,,TRUE,speculative,
,cause,present,,,,,
,not cause,present,,,TRUE,,
,causes,present,,cause,,,
,caused,past,,cause,,,
,is caused by,present,cause,,,,
,are caused by,present,cause,,,,
,isn't caused by,present,not cause,,TRUE,,
,aren't caused by,present,not cause,,TRUE,,
,was not caused by,past,not cause,,TRUE,,
,wasn't caused by,past,not cause,,TRUE,,
,were not caused by,past,not cause,,TRUE,,
,weren't caused by,past,not cause,,TRUE,,
,is thought to cause,present,,cause,,speculative,
,are thought to cause,present,,cause,,speculative,
,is not thought to cause,present,,not cause,TRUE,speculative,
,are not thought to cause,present,,not cause,TRUE,speculative,
,was thought to cause,past,,cause,,speculative,
,were thought to cause,past,,cause,,speculative,
,was not thought to cause,past,,not cause,TRUE,speculative,
,wasn't thought to cause,past,,not cause,TRUE,speculative,
,were not thought to cause,past,,not cause,TRUE,speculative,
,weren't thought to cause,past,,not cause,TRUE,speculative,
,is thought to be caused by,present,cause,,,speculative,
,are thought to be caused by,present,cause,,,speculative,
,is thought to have been caused by,present,cause,,,speculative,
,are thought to have been caused by,present,cause,,,speculative,
,was thought to have been caused by,past,cause,,,speculative,
,were thought to have been caused by,past,cause,,,speculative,
,is not thought to be caused by,present,not cause,,TRUE,speculative,
,are not thought to be caused by,present,not cause,,TRUE,speculative,
,is not thought to have been caused by,present,not cause,,TRUE,speculative,
,are not thought to have been caused by,present,not cause,,TRUE,speculative,
,was not thought to have been caused by,past,not cause,,TRUE,speculative,
,were not thought to have been caused by,past,not cause,,TRUE,speculative,
